,isbn,average_rating,ratings_count,text_reviews_count,nr_tokens,nr_sentences,downloaded_reviews,average_tokens,positive,negative,compound
117,9780735224650,3.80,92268,9848,20520,884,50,410.4,0.05038986354775828,0.030458089668615983,0.008595808966861606
118,9780778309451,4.19,13453,1537,17379,811,57,304.89473684210526,0.05629541400540883,0.02088727774900742,0.015440243972610642
119,9780062671189,4.11,4639,678,14981,685,47,318.74468085106383,0.05370636139109539,0.0222949068820506,0.013423676657098994
120,9781635575637,4.23,231972,36097,17270,783,62,278.5483870967742,0.05164302258251303,0.019362709901563406,0.014679473074696005
121,9780525541721,4.24,258,34,8028,437,78,102.92307692307692,0.06103637269556552,0.022047832585949178,0.015472795216741358
122,9780525618522,3.98,958,182,11231,495,68,165.16176470588235,0.054017184578399075,0.03196509660760395,0.007468836256789212
123,9781501195099,4.36,7833,668,20593,1115,46,447.67391304347825,0.047945078424707424,0.030565774777837132,0.0071391783615791776
124,9781250204509,4.29,10558,1579,12224,558,48,254.66666666666666,0.045075261780104715,0.03280431937172775,0.00510127617801045
125,9781250237279,3.81,44000,6829,15780,779,57,276.8421052631579,0.04968314321926489,0.03035487959442332,0.008002433460076022
126,9781250256737,3.72,20060,3231,27722,1249,66,420.030303030303,0.04837313325156915,0.02551111030950148,0.00870495635235557
127,9780399591778,3.84,25205,3404,15433,784,56,275.5892857142857,0.04905073543705048,0.03570271496144625,0.0019552582129203654
128,9780062892898,4.19,3126,378,10434,466,60,173.9,0.0523289246693502,0.02003066896683918,0.012083026643664906
129,9781250272614,4.20,39300,4123,11817,595,48,246.1875,0.059267072861132274,0.02233511043412033,0.01719125835660491
130,9781982110567,4.20,1243,74,24813,1145,60,413.55,0.049705154556079476,0.030843590053600937,0.006562076330955526
131,9780399179624,4.15,1200,232,11020,613,77,143.11688311688312,0.05852994555353902,0.021234119782214157,0.016608729582577142
132,9780062667632,3.16,120925,18922,18417,856,60,306.95,0.04664168974317207,0.03330048324917196,0.005570700982787613
133,9781538747254,4.26,792,124,7465,409,53,140.8490566037736,0.05247273945077026,0.031346282652377766,0.00979709310113862
134,9780062356345,4.15,40557,5348,12505,548,49,255.20408163265307,0.04996465413834466,0.03350659736105558,0.007080391843262687
135,9780062858108,4.23,36910,3314,15815,784,55,287.54545454545456,0.05395434713879229,0.04322491305722415,0.002464128991463772
136,9781250207104,4.07,25488,2257,11027,613,45,245.04444444444445,0.058946222907409085,0.032465765847465314,0.012222027750067983
137,9781538761601,4.21,1087,140,10531,493,58,181.56896551724137,0.051700218402810756,0.028487323141202166,0.007311898205298622
138,9781984880512,3.79,4183,590,13952,698,65,214.64615384615385,0.052865323967889906,0.04126333142201835,0.0030960794151376064
139,9780316428163,4.34,5172,522,8394,448,68,123.44117647058823,0.06040028591851322,0.02589015963783655,0.013388992137240836
140,9781982146948,4.09,5852,806,10185,540,72,141.45833333333334,0.06394590083456063,0.01653578792341679,0.02251277368679433
141,9781501160837,4.18,3642,364,17386,877,58,299.7586206896552,0.059014954561141156,0.03332071781893478,0.012310335902450257
142,9780399179655,3.97,483,124,7770,400,60,129.5,0.06177606177606178,0.027670527670527672,0.01480087516087511
143,9780593087886,4.31,156,22,11166,535,79,141.34177215189874,0.05892889127709117,0.021314705355543615,0.0145972505821243
144,9780735219090,4.39,87446,10304,22897,1109,60,381.6166666666667,0.05363955976765515,0.030554570467746865,0.010074861335546154
145,9780399180194,4.10,2096,278,9009,502,58,155.32758620689654,0.058053058053058056,0.025308025308025308,0.014648229548229495
146,9781984826787,3.91,36810,5708,20250,957,63,321.42857142857144,0.04911111111111111,0.03288888888888889,0.005591417283950581
147,9780399179686,4.02,389,109,12910,642,68,189.85294117647058,0.06796568551510457,0.03425391169635941,0.015174562354763794
148,9781683691433,3.80,19197,3604,19727,977,59,334.35593220338984,0.054972220814112634,0.036509251279971615,0.006969371926800817
149,9781524744618,3.90,47633,5503,11115,582,57,195.0,0.05236167341430499,0.019973009446693658,0.015148942869995494
150,9780525655978,2.87,4126,965,8826,467,65,135.7846153846154,0.059936551099025605,0.033877181055971,0.012296997507364552
151,9780593087916,4.45,534,58,11076,511,67,165.3134328358209,0.05356970025279884,0.025911881545684363,0.011383938244853696
152,9780525954989,4.39,59122,5228,10769,478,42,256.4047619047619,0.052929705636549355,0.03203640078001672,0.00883562076330204
153,9781250202031,3.76,71238,7624,16150,813,59,273.728813559322,0.06275702786377708,0.02786377708978328,0.015132408668730698
154,9781984820150,4.06,13794,1907,7695,353,23,334.5652173913044,0.050682261208576995,0.02785003248862898,0.00987359324236514
155,9780525479352,3.97,333,57,10051,498,64,157.046875,0.053228534474181674,0.020793950850661626,0.013418187245050209
156,9780525538233,4.41,2815,395,7852,409,63,124.63492063492063,0.05017829852266938,0.031966377992868056,0.007567651553744247
157,9780385351102,3.56,28688,4434,9530,427,42,226.9047619047619,0.04872875131164743,0.02738719832109129,0.008440157397691486
158,9780062955456,4.05,18412,2749,11534,496,46,250.7391304347826,0.04628697763135079,0.037839084445985785,-0.00034694815328593936
159,9780062868930,3.82,57184,5444,18183,914,67,271.3880597014925,0.05610817796843205,0.03192366496177749,0.009255557388769731
160,9780812996548,4.11,69131,8394,16926,832,47,360.1276595744681,0.05085714285714286,0.02445941155618575,0.011420051991019736
161,9781984823748,3.85,4421,762,10115,531,72,140.48611111111111,0.07256549678695007,0.0220767177459219,0.02246615916955021
162,9781982129606,4.28,4486,642,5804,323,62,93.61290322580645,0.07615437629221226,0.01722949689869056,0.027137560303239102
163,9780593188293,3.84,184,18,7693,414,77,99.9090909090909,0.05290523852853243,0.0272975432211101,0.010163733264006214
164,9781594634697,3.58,64119,6310,12027,554,62,193.98387096774192,0.05475721293755717,0.024246112912613287,0.01300196225160055
165,9781538751947,4.00,15809,1333,8242,399,51,161.6078431372549,0.0578928658092696,0.03102365930599369,0.010598374181024004
166,9780316420044,4.19,153938,14094,13323,689,64,208.171875,0.06251429858140058,0.02473909780079562,0.018428041732342613
167,9780316457422,3.93,7793,1152,9340,560,31,301.2903225806452,0.05183276231263383,0.029443254817987152,0.0064664989293361725
168,9780593128404,3.88,3791,601,13065,555,64,204.140625,0.053214313050133945,0.02910202831993877,0.009464998086490591
169,9781524745172,4.07,165591,21568,18352,820,63,291.3015873015873,0.045036399302528334,0.03288273757628596,0.00396054380993895
170,9781250145239,4.43,46517,6210,15930,778,47,338.93617021276594,0.054488386691776525,0.028562460765850596,0.010527608286252332
171,9780062963673,4.10,369703,37571,20927,917,53,394.8490566037736,0.046813542313757346,0.022172313279495388,0.010497223682324286
172,9781538761694,4.20,2893,411,12014,530,66,182.03030303030303,0.052189112701847847,0.02921591476610621,0.008943732312302277
173,9781250207203,4.38,10346,1003,12597,622,51,247.0,0.05461617845518774,0.03008652853854092,0.009770461220925552
174,9781250209764,4.37,25224,1840,23262,1067,56,415.39285714285717,0.04647063881007652,0.03469177198865102,0.0034507909895967357
175,9781501193699,4.26,1926,281,11310,625,74,152.83783783783784,0.04633068081343943,0.028381962864721486,0.00707357206012375
176,9781400069606,4.25,2493,642,21756,987,38,572.5263157894736,0.0388398602684317,0.03447324875896304,0.00039483820555249294
177,9780316485623,4.35,6557,1047,14988,700,60,249.8,0.05811849479583667,0.030824659727782224,0.008697911662663437
178,9780385544184,4.14,61591,6030,9712,497,51,190.4313725490196,0.07104458401976936,0.03315485996705107,0.012931908978583161
179,9780316498937,4.37,1803,268,12608,538,54,233.4814814814815,0.04241814720812183,0.041529822335025376,0.0006109216370558389
180,9781501190650,4.30,1938,234,16481,779,80,206.0125,0.053394818275590075,0.030398640859171166,0.007682470723863816
181,9781982104061,4.24,1969,254,10143,523,76,133.46052631578948,0.051562654047126094,0.03361924479936902,0.005759942817706775
